Sample Name	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[instrument]	Term Source REF	Term Accession Number	Parameter Value[ion source]	Term Source REF	Term Accession Number	Parameter Value[detector]	Term Source REF	Term Accession Number	Parameter Value[ionization mode]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Data Transformation Name	Derived Spectral Data File	Factor Value[Genotype]	Term Source REF	Term Accession Number
KO1	extraction	KO1	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-1	./cdf/KO/ko15.CDF					KO		
KO2	extraction	KO2	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-2	./cdf/KO/ko16.CDF					KO		
KO3	extraction	KO3	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-3	./cdf/KO/ko18.CDF					KO		
KO4	extraction	KO4	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-4	./cdf/KO/ko19.CDF					KO		
KO5	extraction	KO5	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-5	./cdf/KO/ko21.CDF					KO		
KO6	extraction	KO6	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-6	./cdf/KO/ko22.CDF					KO		
WT1	extraction	WT1	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-7	./cdf/WT/wt15.CDF					WT		
WT2	extraction	WT2	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-8	./cdf/WT/wt16.CDF					WT		
WT3	extraction	WT3	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-9	./cdf/WT/wt18.CDF					WT		
WT4	extraction	WT4	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-10	./cdf/WT/wt19.CDF					WT		
WT5	extraction	WT5	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-11	./cdf/WT/wt21.CDF					WT		
WT6	extraction	WT6	labeling					mass spectrometry	Agilent 1100 LC-MSD SL			electrospray ionization	MS	1000073				positive mode			lc-ms-12	./cdf/WT/wt22.CDF					WT		
